row_number,product_id,keyword,method,domain,url,provisional_relevant,confidence_score,confidence_level,needs_human_review,review_status,ai_review_notes,original_observation_notes
65,P074,Realme GT 7 Pro 256 GB fiyat,,klarna.com,https://www.klarna.com/us/shopping/pl/cl1/3388222658/Mobile-Phones/realme-GT-7-Pro-256GB-Galaxy-Grey,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
66,P074,Realme GT 7 Pro 256 GB fiyat,,m.gsmarena.com,https://m.gsmarena.com/realme_gt_7_pro-ampp-13470.php,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Teknik özellik sayfası; satın alma veya fiyat karşılaştırma amacı taşımıyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.3.
67,P074,Realme GT 7 Pro 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-realme-gt-7-pro,false,0.75,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfasında hedef 256 GB varyantı doğrulanamadı; Türkiye sonuçları ağırlıkla 512 GB görünüyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9 | tavily_llm=true@1.
68,P074,Realme GT 7 Pro 256 GB fiyat,,vatanbilgisayar.com,https://www.vatanbilgisayar.com/realme-gt7-pro-12-512gb-galaksi-grisi-akilli-telefon.html,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Ürün 512 GB varyantıdır; kapasite eşleşmiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1.
69,P084,Motorola Edge 50 Ultra 512 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-motorola-edge-50-ultra-fiyati,637507356.html",true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model fiyat sayfası Türkiye'de sunulan 512 GB varyant ve mağaza teklifleriyle eşleşiyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85.
70,P084,Motorola Edge 50 Ultra 512 GB fiyat,,ebay.com,https://www.ebay.com/shop/motorola-edge-50-ultra?_nkw=motorola+edge+50+ultra,false,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Canlı sonuçlarda hedef Edge 50 Ultra 512 GB ilanı doğrulanamadı; görülen 512 GB sonuçlar farklı Motorola modelleriydi.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
71,P084,Motorola Edge 50 Ultra 512 GB fiyat,,en-us.support.motorola.com,https://en-us.support.motorola.com/app/answers/detail/a_id/187368/~/specifications---motorola-edge-50-ultra,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Destek/teknik özellik sayfası; satın alma veya fiyat karşılaştırma amacı taşımıyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=false@0.2.
72,P084,Motorola Edge 50 Ultra 512 GB fiyat,,motorola.com,https://www.motorola.com/gb/en/p/phones/motorola-edge/50-ultra/pmipmgn36m2,false,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,"Resmî tanıtım sayfasında mağaza, fiyat veya satın alma bağlamı görünmüyor.",Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.8.
73,P084,Motorola Edge 50 Ultra 512 GB fiyat,,mymobiles.com,https://www.mymobiles.com/phones/motorola/edge-50-ultra-deals/512GB,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 512 GB kapasite için satın alma/fiyat teklifi sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
74,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra,true,0.75,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin ilan sayfası; 512 GB ilanının güncel görünümü insan kontrolüne bırakıldı.,Human review required; observed methods: selenium_nano_llm; predictions: selenium_nano_llm=true@1.
75,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra-1316594750/detay,false,0.65,low,true,Human-approved after AI-assisted review by project owner on 2026-07-31,İlan doğru modeli belirtiyor ancak URL/erişilebilir içerikte 512 GB kapasite doğrulanamadı.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.9.
76,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra-512gb-tertemiz-1299832435/detay,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,İlan başlığı ve URL doğru modeli ve 512 GB kapasiteyi belirtiyor.,Human review required; observed methods: agentic_search | selenium_rule_based; predictions: agentic_search=true@1 | selenium_rule_based=true@0.9.
77,P084,Motorola Edge 50 Ultra 512 GB fiyat,,shiftdelete.net,https://shiftdelete.net/urun-detay/motorola-edge-50-ultra,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,"Ürün bilgi/inceleme sayfası; doğrudan satış, ilan veya fiyat karşılaştırma sonucu değil.",Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@0.8 | selenium_nano_llm=true@0.9 | selenium_rule_based=false@0.
78,P084,Motorola Edge 50 Ultra 512 GB fiyat,,tomsguide.com,https://www.tomsguide.com/phones/motorola-phones/motorola-edge-50,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,İnceleme/haber sayfası ve Edge 50 modeli; Ultra 512 GB hedefiyle eşleşmiyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@0.9.
79,P084,Motorola Edge 50 Ultra 512 GB fiyat,,tr.kalvo.com,https://tr.kalvo.com/motorola-edge-50-ultra-104190.html,false,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Teknik özellik/bilgi sayfası; doğrudan satış veya fiyat karşılaştırma sonucu değil.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@0.9 | selenium_nano_llm=true@0.9 | selenium_rule_based=false@0.
80,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-cmf-phone-1-256-gb-fiyati,1138749634.html",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
81,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-nothing-cmf-phone-1-256gb-8gb-ram-fiyatlari,a2367672588",true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@0.85 | tavily_llm=true@1.
82,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/cmf-phone-1-256gb.html,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru modelin 256 GB varyantı için fiyat ve mağaza teklifleri içeriyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=false@0 | tavily_llm=true@1.
83,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/cmf-by-nothing-cmf-phone-1-android-telefonlar-xc-60005201-b139418-t2370,true,0.95,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Mağaza model sayfasında CMF Phone 1 256 GB ürünleri bulunuyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based | tavily_llm; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1 | tavily_llm=true@1.
84,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/cmfbynothing/cep-telefonlari-c-371965?filtreler=dahilihafiza:256%E2%82%AC20GB,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Marka mağaza sayfası 256 GB depolama filtresiyle açılıyor ve hedef modeli içeriyor.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1.
85,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-nothing-cmf-phone-1,true,0.85,medium,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Model ilan sayfasında CMF Phone 1 256 GB satış ilanları bulunuyor.,Human review required; observed methods: tavily_llm; predictions: tavily_llm=true@1.
86,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,trendyol.com,https://www.trendyol.com/nothing/cmf-by-nothing-phone-1-8-256-gb-nothing-turkiye-garantili-p-939965583,true,0.99,high,false,Human-approved after AI-assisted review by project owner on 2026-07-31,Doğru model ve 256 GB kapasite için doğrudan ürün sayfası.,Human review required; observed methods: agentic_search | selenium_nano_llm | selenium_rule_based; predictions: agentic_search=true@1 | selenium_nano_llm=true@1 | selenium_rule_based=true@1.
