row_number,product_id,keyword,method,domain,url,human_relevant,original_human_decision,human_note,adjudication_required,adjudication_basis,review_status,decision_source
71,P084,Motorola Edge 50 Ultra 512 GB fiyat,,en-us.support.motorola.com,https://en-us.support.motorola.com/app/answers/detail/a_id/187368/~/specifications---motorola-edge-50-ultra,false,FALSE?,DOĞRU MODEL ÜRÜNÜNN ÖZELLİKLERİNİ LİSTELEMİŞ ANCAK FİYAT BİLGİSİ YADA YÖNLENDİRİCİ MAĞAZA LİNKİ YOK,true,"This is a technical support/specifications page, not a transactional result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
72,P084,Motorola Edge 50 Ultra 512 GB fiyat,,motorola.com,https://www.motorola.com/gb/en/p/phones/motorola-edge/50-ultra/pmipmgn36m2,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
73,P084,Motorola Edge 50 Ultra 512 GB fiyat,,mymobiles.com,https://www.mymobiles.com/phones/motorola/edge-50-ultra-deals/512GB,true,TRIUE?,"DOĞRU ÜRÜN AMA FİYAT BİLGİSİ YOK : No 512GB deals available
No UK retailers currently stock the Motorola Edge 50 Ultra in 512GB.",true,The deals page is for Motorola Edge 50 Ultra 512 GB; stock availability does not change relevance.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
74,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra,false,TRUE?,"DOĞRU MODELLERİ LİSTELİYORLAR EDGE 50, AMA DEPOLAMA 512 GB DEĞİL",true,The category page does not clearly establish the requested 512 GB capacity.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
75,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra-1316594750/detay,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
76,P084,Motorola Edge 50 Ultra 512 GB fiyat,,sahibinden.com,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-motorola-edge-50-ultra-512gb-tertemiz-1299832435/detay,true,TRUE?,"DOĞRU MODELLERİ LİSTELİYORLAR EDGE 50, AMA DEPOLAMA 512 GB DEĞİL",true,The listing URL/title explicitly identifies Motorola Edge 50 Ultra 512 GB; stock status does not change relevance.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
77,P084,Motorola Edge 50 Ultra 512 GB fiyat,,shiftdelete.net,https://shiftdelete.net/urun-detay/motorola-edge-50-ultra,false,TRUE?,"DOĞRU MODEL LİSTELENMİŞ,ÖZELLİKLERİ SKORU VS VAR AMA FİYAT BİLGİSİ YOK YADA MAĞAZA YÖNLENDİRME LİNKİ",true,"This is a product information/review page, not a transactional result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
78,P084,Motorola Edge 50 Ultra 512 GB fiyat,,tomsguide.com,https://www.tomsguide.com/phones/motorola-phones/motorola-edge-50,false,TRUE?,"DOĞRU MODEL LİSTELENMİŞ,ÖZELLİKLERİ SKORU VS VAR AMA FİYAT BİLGİSİ YOK YADA MAĞAZA YÖNLENDİRME LİNKİ",true,This is a review page for Motorola Edge 50 rather than a transactional Edge 50 Ultra 512 GB result.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
79,P084,Motorola Edge 50 Ultra 512 GB fiyat,,tr.kalvo.com,https://tr.kalvo.com/motorola-edge-50-ultra-104190.html,false,TRUE?,"DOĞRU MODEL LİSTELENMİŞ,ÖZELLİKLERİ SKORU VS VAR AMA  MAĞAZA YÖNLENDİRME LİNKİ YOK SADECE ŞU YAZILMIŞ ""Motorola Edge 50 Ultra fiyatı €594, ilerleyen günlerde değişiklik gösterebilir.""",true,"This is a technical information page with an indicative price, not a store, listing, or price-comparison result.",Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
80,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-cmf-phone-1-256-gb-fiyati,1138749634.html",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
81,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-nothing-cmf-phone-1-256gb-8gb-ram-fiyatlari,a2367672588",true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
82,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/cmf-phone-1-256gb.html,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
83,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/cmf-by-nothing-cmf-phone-1-android-telefonlar-xc-60005201-b139418-t2370,true,TRUE?,BİRDEN FAZLA DOĞRU MODELÜN VERSİYONU LİSTELENMİŞ 256 GBB LIK DA VAR 128 DE,true,The store model page includes the requested CMF Phone 1 256 GB variant among other capacities.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
84,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,hepsiburada.com,https://www.hepsiburada.com/cmfbynothing/cep-telefonlari-c-371965?filtreler=dahilihafiza:256%E2%82%AC20GB,true,TRUE?,BİRDEN FAZLA DOĞRU MODELÜN VERSİYONU LİSTELENMİŞ 256 GBB LIK DA VAR 128 DE,true,The store category is filtered for 256 GB and contains the requested CMF Phone 1 model.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
85,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-nothing-cmf-phone-1,true,TRUE?,BİRDEN FAZLA DOĞRU MODELÜN VERSİYONU LİSTELENMİŞ 256 GBB LIK DA VAR 128 DE,true,The marketplace category includes the requested CMF Phone 1 256 GB listings among other variants.,Individually reviewed by project owner on 2026-07-31; uncertainty adjudicated against the frozen relevance rule.,project_owner_review_with_rule_based_adjudication
86,P097,CMF by Nothing CMF Phone 1 256 GB fiyat,,trendyol.com,https://www.trendyol.com/nothing/cmf-by-nothing-phone-1-8-256-gb-nothing-turkiye-garantili-p-939965583,true,TRUE,,false,Not required; the project owner recorded an exact TRUE/FALSE decision.,Individually reviewed by project owner on 2026-07-31; final decision recorded directly.,project_owner
